|numvelasfp|empresa|numeroPredicciones|ratioFalsosPositivos|subgrupos
903|28|PTMN|30|93.3000|SG_26;SG_40;SG_42;SG_10;SG_26;SG_40;SG_42;SG_10
904|14|INBX|15|93.3000|SG_4;SG_43;SG_42;SG_4;SG_43;SG_42
905|28|BRKL|30|93.3000|SG_4;SG_41;SG_22;SG_10;SG_18;SG_4;SG_41;SG_22;SG_10;SG_18
906|28|CNFR|30|93.3000|SG_37;SG_23;SG_10;SG_47;SG_37;SG_23;SG_42;SG_10;SG_18
907|14|ACIU|15|93.3000|SG_4;SG_22;SG_42;SG_4;SG_22;SG_43;SG_42
908|14|NVCN|15|93.3000|SG_37;SG_22;SG_43;SG_5;SG_42;SG_37;SG_22;SG_43;SG_5
909|14|NOVN|15|93.3000|SG_37;SG_43;SG_5;SG_42;SG_37;SG_43;SG_5;SG_42
910|28|FLXN|30|93.3000|SG_4;SG_26;SG_43;SG_4;SG_26;SG_43;SG_42
911|14|EVOL|15|93.3000|SG_14;SG_19;SG_14;SG_42;SG_19
912|28|FUNC|30|93.3000|SG_41;SG_22;SG_49;SG_5;SG_10;SG_18;SG_47;SG_41;SG_22;SG_49;SG_5;SG_10;SG_18;SG_47
913|14|IMGN|15|93.3000|SG_4;SG_22;SG_43;SG_42;SG_4;SG_43;SG_42
914|14|FCBC|15|93.3000|SG_4;SG_10;SG_18;SG_4;SG_41;SG_10;SG_18
915|28|AFMD|30|93.3000|SG_22;SG_43;SG_34;SG_4;SG_22;SG_43;SG_34
916|57|BAND|61|93.4000|SG_14;SG_23;SG_40;SG_3;SG_46;SG_47;SG_14;SG_23;SG_40;SG_3;SG_47
917|43|HBP|46|93.5000|SG_23;SG_12;SG_42;SG_18;SG_23;SG_12;SG_5;SG_42;SG_18
918|29|FORM|31|93.5000|SG_14;SG_3;SG_22;SG_19;SG_14;SG_3;SG_22;SG_42;SG_19
919|29|FELE|31|93.5000|SG_41;SG_3;SG_22;SG_12;SG_19;SG_41;SG_3;SG_22;SG_12;SG_19
920|15|FCCY|16|93.8000|SG_22;SG_5;SG_10;SG_18;SG_22;SG_5;SG_10;SG_18
921|15|CRVS|16|93.8000|SG_43;SG_5;SG_46;SG_47;SG_43;SG_5;SG_42
922|45|GLDD|48|93.8000|SG_4;SG_23;SG_12;SG_42;SG_19;SG_4;SG_23;SG_12;SG_42;SG_19;SG_46
923|15|GENC|16|93.8000|SG_12;SG_5;SG_42;SG_19;SG_12;SG_42;SG_19
924|15|PDEX|16|93.8000|SG_22;SG_43;SG_5;SG_42;SG_46;SG_18;SG_22;SG_43;SG_5;SG_46
925|15|CTXR|16|93.8000|SG_4;SG_43;SG_42;SG_4;SG_43;SG_42
926|15|LANC|16|93.8000|SG_41;SG_3;SG_19;SG_3;SG_19
927|15|CVCY|16|93.8000|SG_41;SG_22;SG_18;SG_41;SG_22;SG_5;SG_10
928|30|ARCB|32|93.8000|SG_3;SG_22;SG_12;SG_18;SG_41;SG_3;SG_12;SG_18
929|15|KYMR|16|93.8000|SG_3;SG_22;SG_43;SG_47;SG_3;SG_43;SG_42
930|15|PPBI|16|93.8000|SG_41;SG_3;SG_22;SG_10;SG_18;SG_41;SG_3;SG_22;SG_10
931|30|LLNW|32|93.8000|SG_14;SG_4;SG_23;SG_14;SG_4;SG_23
932|15|FRBA|16|93.8000|SG_41;SG_10;SG_18;SG_41;SG_22;SG_5;SG_10;SG_18
933|30|CHEF|32|93.8000|SG_4;SG_23;SG_42;SG_4;SG_23
934|31|CUBA|33|93.9000|SG_41;SG_37;SG_26;SG_10;SG_41;SG_37;SG_26;SG_10
935|31|AXTI|33|93.9000|SG_14;SG_4;SG_22;SG_42;SG_19;SG_14;SG_4;SG_22;SG_19
936|31|MRCY|33|93.9000|SG_3;SG_22;SG_12;SG_19;SG_3;SG_22;SG_12;SG_42;SG_19
937|31|ORRF|33|93.9000|SG_41;SG_22;SG_5;SG_10;SG_18;SG_47;SG_41;SG_5;SG_10;SG_18;SG_47
938|31|ADTN|33|93.9000|SG_20;SG_14;SG_4;SG_41;SG_20;SG_14;SG_4;SG_41
939|31|FNKO|33|93.9000|SG_4;SG_22;SG_49;SG_42;SG_18;SG_47;SG_4;SG_22;SG_18;SG_47
940|47|FFIV|50|94.0000|SG_14;SG_22;SG_42;SG_19;SG_46;SG_47;SG_2;SG_14;SG_22;SG_42;SG_19;SG_46;SG_47;SG_2
941|16|BUSE|17|94.1000|SG_4;SG_41;SG_22;SG_10;SG_18;SG_4;SG_41;SG_10
942|16|CRBP|17|94.1000|SG_22;SG_43;SG_5;SG_22;SG_43;SG_5;SG_42
943|16|IMV|17|94.1000|SG_22;SG_43;SG_5;SG_42;SG_43;SG_5;SG_42
944|16|ENTA|17|94.1000|SG_4;SG_43;SG_42;SG_4;SG_43;SG_42
945|16|PASG|17|94.1000|SG_4;SG_43;SG_42;SG_4;SG_42
946|17|ORMP|18|94.4000|SG_4;SG_37;SG_42;SG_4;SG_37;SG_43;SG_42
947|17|LORL|18|94.4000|SG_14;SG_4;SG_18;SG_14;SG_4;SG_42
948|34|PFSW|36|94.4000|SG_23;SG_12;SG_5;SG_23;SG_12;SG_5;SG_42
949|17|CHSCN|18|94.4000|SG_26;SG_41;SG_26
950|17|BBI|18|94.4000|SG_37;SG_43;SG_5;SG_42;SG_46;SG_37;SG_43;SG_5;SG_42
951|17|IRTC|18|94.4000|SG_40;SG_3;SG_22;SG_43;SG_40;SG_22;SG_43;SG_42
952|17|CSCO|18|94.4000|SG_14;SG_41;SG_22;SG_18;SG_14;SG_41;SG_22;SG_18
953|18|GIII|19|94.7000|SG_4;SG_22;SG_42;SG_4;SG_22;SG_42;SG_46
954|18|NMTR|19|94.7000|SG_4;SG_43;SG_4;SG_43
955|18|FNLC|19|94.7000|SG_4;SG_10;SG_18;SG_4;SG_41;SG_10;SG_18
956|18|EH|19|94.7000|SG_4;SG_12;SG_42;SG_4;SG_22;SG_12
957|18|BLU|19|94.7000|SG_4;SG_42;SG_4;SG_43
958|18|APLT|19|94.7000|SG_4;SG_43;SG_42;SG_4;SG_43
959|18|PNRG|19|94.7000|SG_22;SG_7;SG_37;SG_22;SG_7;SG_42
960|18|AXSM|19|94.7000|SG_4;SG_43;SG_4;SG_43;SG_42
961|18|LOGI|19|94.7000|SG_14;SG_41;SG_18;SG_2;SG_14;SG_41;SG_18;SG_2
962|19|LNTH|20|95.0000|SG_4;SG_22;SG_43;SG_42;SG_4;SG_22;SG_43
963|19|GNUS|20|95.0000|SG_14;SG_4;SG_42;SG_14;SG_4;SG_42
964|19|CEVA|20|95.0000|SG_14;SG_4;SG_14;SG_4;SG_42
965|19|NGM|20|95.0000|SG_4;SG_43;SG_47;SG_4;SG_43;SG_42;SG_47
966|19|NWFL|20|95.0000|SG_37;SG_5;SG_46;SG_10;SG_18;SG_41;SG_37;SG_5;SG_10;SG_18
967|38|NTNX|40|95.0000|SG_14;SG_26;SG_3;SG_47;SG_14;SG_26;SG_3;SG_42;SG_47
968|19|ATHA|20|95.0000|SG_4;SG_43;SG_42;SG_4;SG_43
969|20|NCBS|21|95.2000|SG_4;SG_10;SG_18;SG_4;SG_22;SG_10;SG_18
970|20|INBK|21|95.2000|SG_4;SG_41;SG_22;SG_18;SG_4;SG_41;SG_22;SG_10;SG_18
971|20|MTEM|21|95.2000|SG_4;SG_42;SG_47;SG_4;SG_43;SG_47
972|20|ALLO|21|95.2000|SG_3;SG_43;SG_42;SG_46;SG_47;SG_3;SG_43;SG_42;SG_47
973|20|FRPH|21|95.2000|SG_16;SG_4;SG_42;SG_18;SG_16;SG_4;SG_22;SG_18
974|20|FUSN|21|95.2000|SG_4;SG_43;SG_42;SG_4;SG_43;SG_42
975|20|KNSA|21|95.2000|SG_4;SG_43;SG_42;SG_4;SG_43
976|40|ESPR|42|95.2000|SG_26;SG_40;SG_43;SG_5;SG_26;SG_40;SG_43;SG_5;SG_42
977|41|ALTR|43|95.3000|SG_14;SG_3;SG_22;SG_49;SG_42;SG_46;SG_47;SG_14;SG_3;SG_22;SG_49;SG_42;SG_47
978|21|KBSF|22|95.5000|SG_37;SG_26;SG_42;SG_37;SG_26
979|21|AUB|22|95.5000|SG_41;SG_3;SG_22;SG_10;SG_18;SG_41;SG_3;SG_22;SG_10;SG_18
980|43|CLAR|45|95.6000|SG_20;SG_4;SG_41;SG_22;SG_20;SG_4;SG_41;SG_22
981|22|CCNE|23|95.7000|SG_4;SG_41;SG_22;SG_10;SG_18;SG_4;SG_41;SG_10;SG_18
982|22|ALRS|23|95.7000|SG_4;SG_41;SG_10;SG_18;SG_4;SG_41;SG_22;SG_10;SG_18
983|22|GNTY|23|95.7000|SG_4;SG_41;SG_22;SG_10;SG_4;SG_41;SG_22;SG_10
984|22|JBSS|23|95.7000|SG_4;SG_22;SG_18;SG_4;SG_41;SG_18
985|22|KROS|23|95.7000|SG_4;SG_43;SG_47;SG_4;SG_43;SG_47
986|22|KRTX|23|95.7000|SG_3;SG_42;SG_46;SG_47;SG_3;SG_43;SG_47
987|23|AOSL|24|95.8000|SG_14;SG_22;SG_18;SG_47;SG_14;SG_4;SG_22;SG_18;SG_47
988|23|CFB|24|95.8000|SG_4;SG_42;SG_10;SG_47;SG_4;SG_46;SG_18;SG_47
989|23|AEIS|24|95.8000|SG_41;SG_3;SG_22;SG_12;SG_18;SG_41;SG_3;SG_22;SG_12
990|23|LUNG|24|95.8000|SG_4;SG_22;SG_43;SG_42;SG_47;SG_4;SG_22;SG_43;SG_42;SG_47
991|23|BIOL|24|95.8000|SG_37;SG_22;SG_43;SG_5;SG_46;SG_37;SG_43;SG_5;SG_42
992|23|FBNC|24|95.8000|SG_4;SG_41;SG_22;SG_10;SG_18;SG_4;SG_41;SG_10;SG_47
993|23|LTRX|24|95.8000|SG_14;SG_22;SG_5;SG_42;SG_14;SG_5
994|23|LHCG|24|95.8000|SG_3;SG_43;SG_42;SG_19;SG_3;SG_43;SG_42;SG_19
995|23|CD|24|95.8000|SG_14;SG_3;SG_22;SG_14;SG_3;SG_22
996|24|PLUS|25|96.0000|SG_14;SG_4;SG_22;SG_42;SG_18;SG_14;SG_4;SG_22;SG_47
997|24|CBAT|25|96.0000|SG_37;SG_22;SG_12;SG_5;SG_18;SG_37;SG_12;SG_5;SG_18
998|24|AMTB|25|96.0000|SG_4;SG_22;SG_42;SG_10;SG_18;SG_47;SG_4;SG_22;SG_42;SG_46;SG_10;SG_18;SG_47
999|25|ATRS|26|96.2000|SG_4;SG_22;SG_43;SG_42;SG_18;SG_4;SG_22;SG_43;SG_18
1000|26|PFBC|27|96.3000|SG_4;SG_41;SG_22;SG_18;SG_4;SG_41;SG_22;SG_10;SG_18
1001|27|PEBO|28|96.4000|SG_4;SG_41;SG_22;SG_10;SG_18;SG_4;SG_41;SG_22;SG_10
1002|28|FLWS|29|96.6000|SG_4;SG_22;SG_42;SG_46;SG_18;SG_47;SG_4;SG_22;SG_42;SG_47
1003|28|HOMB|29|96.6000|SG_3;SG_22;SG_10;SG_18;SG_47;SG_41;SG_3;SG_10;SG_18;SG_47
1004|28|PLXS|29|96.6000|SG_14;SG_3;SG_22;SG_42;SG_46;SG_18;SG_14;SG_3;SG_22;SG_46;SG_18
1005|31|INCY|32|96.9000|SG_22;SG_43;SG_42;SG_19;SG_47;SG_2;SG_43;SG_19;SG_46;SG_47;SG_2
1006|33|HIBB|34|97.1000|SG_4;SG_41;SG_40;SG_22;SG_46;SG_18;SG_47;SG_4;SG_41;SG_40;SG_18
1007|34|KTCC|35|97.1000|SG_14;SG_23;SG_5;SG_14;SG_23;SG_5;SG_18
1008|34|IMXI|35|97.1000|SG_14;SG_4;SG_23;SG_42;SG_18;SG_47;SG_14;SG_4;SG_23;SG_47
1009|39|BBGI|40|97.5000|SG_14;SG_23;SG_5;SG_42;SG_14;SG_23;SG_5;SG_42
1010|45|NTES|46|97.8000|SG_14;SG_41;SG_22;SG_19;SG_2;SG_14;SG_41;SG_19;SG_2
1011|2|NSEC|2|100.0000|SG_10;SG_41
1012|25|MSBI|25|100.0000|SG_4;SG_41;SG_22;SG_10;SG_18;SG_4;SG_41;SG_46;SG_10;SG_18
1013|26|GSBC|26|100.0000|SG_4;SG_41;SG_22;SG_10;SG_18;SG_4;SG_22;SG_10;SG_18
1014|3|NWLI|3|100.0000|SG_41;SG_10;SG_17
1015|26|LMAT|26|100.0000|SG_4;SG_41;SG_22;SG_19;SG_4;SG_41;SG_19
1016|3|BRLI|3|100.0000|SG_5;SG_42;SG_10
1017|4|MSVB|4|100.0000|SG_41;SG_41;SG_19
1018|8|AVRO|8|100.0000|SG_43;SG_5;SG_42;SG_43;SG_5;SG_42
1019|7|ACET|7|100.0000|SG_5;SG_43;SG_5
1020|7|PHICU|7|100.0000|SG_26;SG_26;SG_10
1021|4|LRCX|4|100.0000|SG_14;SG_2;SG_2
1022|5|MOTNU|5|100.0000|SG_26;SG_37
1023|6|ALNA|6|100.0000|SG_43;SG_5;SG_5
1024|16|MRTX|16|100.0000|SG_40;SG_3;SG_43;SG_40;SG_43;SG_42
1025|8|CNCE|8|100.0000|SG_5;SG_42;SG_43;SG_5
1026|13|ONVO|13|100.0000|SG_43;SG_5;SG_42;SG_43;SG_42
1027|19|FFIC|19|100.0000|SG_4;SG_22;SG_10;SG_18;SG_4;SG_41;SG_10
1028|19|NLTX|19|100.0000|SG_4;SG_43;SG_42;SG_46;SG_4;SG_43;SG_46
1029|14|AEZS|14|100.0000|SG_43;SG_42;SG_43;SG_5
1030|14|IRIX|14|100.0000|SG_43;SG_5;SG_42;SG_43;SG_5
1031|14|HOPE|14|100.0000|SG_4;SG_22;SG_46;SG_10;SG_4;SG_41;SG_10;SG_18
1032|14|COKE|14|100.0000|SG_41;SG_23;SG_3;SG_18;SG_23;SG_3
1033|15|NAKD|15|100.0000|SG_37;SG_22;SG_42;SG_4;SG_37;SG_22;SG_42
1034|18|CCBG|18|100.0000|SG_4;SG_22;SG_10;SG_18;SG_4;SG_41;SG_22;SG_10;SG_18
1035|15|HOVNP|15|100.0000|SG_26;SG_40;SG_26;SG_40
1036|13|NURO|13|100.0000|SG_37;SG_5;SG_42;SG_37;SG_43;SG_5;SG_46
1037|15|NKTX|15|100.0000|SG_4;SG_42;SG_46;SG_47;SG_4;SG_43;SG_42;SG_46;SG_47
1038|17|FULC|17|100.0000|SG_4;SG_43;SG_4;SG_43
1039|17|GERN|17|100.0000|SG_4;SG_22;SG_42;SG_4;SG_43;SG_42
1040|17|FCCO|17|100.0000|SG_41;SG_22;SG_18;SG_41;SG_5;SG_10;SG_18
1041|17|HAACU|17|100.0000|SG_37;SG_26;SG_42;SG_10;SG_37;SG_26;SG_10
1042|16|CERE|16|100.0000|SG_3;SG_43;SG_3;SG_43;SG_42
1043|16|GTHX|16|100.0000|SG_4;SG_22;SG_43;SG_4;SG_22;SG_43
1044|17|BIDU|17|100.0000|SG_14;SG_22;SG_42;SG_18;SG_2;SG_22;SG_18;SG_2
1045|17|KOD|17|100.0000|SG_3;SG_43;SG_47;SG_3;SG_47
1046|17|CLSK|17|100.0000|SG_14;SG_4;SG_14;SG_4;SG_42
1047|16|PETS|16|100.0000|SG_4;SG_41;SG_18;SG_4;SG_41;SG_18
1048|15|FLNT|15|100.0000|SG_14;SG_22;SG_5;SG_14;SG_5
1049|23|KALA|23|100.0000|SG_23;SG_43;SG_5;SG_23;SG_43;SG_5
1050|20|OCFC|20|100.0000|SG_4;SG_41;SG_10;SG_18;SG_4;SG_41;SG_22;SG_10;SG_18
1051|13|MARA|13|100.0000|SG_3;SG_42;SG_10;SG_3;SG_42;SG_10
